Country,City,Shop,Website,GoogleMaps,Address,Contact,OBS1,OBS2
Argentina,Buenos Aires,Open Hacks,www.openhacks.com ,,,,,
Argentina,Mendoza,IT&T,www.ityt.com.ar,,,,,
Argentina,,Candy-HO,http://candy-ho.com/,,,,,
Argentina,,Nubbeo,http://www.nubbeo.com.ar/,,,,,
Argentina,,Gizmojo,https://www.gizmojo.com.ar/,,,,,
Brazil,,,http://hardwarelivreusp.org/2016/11/24/onde-comprar/,,,Information in portuguese (hint from Filipe from @conector ciencia),,
Brazil,,,http://newportcom.com.br/,,,,,
Brazil,,,https://pandoralab.com.br/,,,,,
Brazil,,,http://www.mrdcomp.com.br/,,,,,
Brazil,,,http://loja.multcomercial.com.br/,,,,,
Chile,,,http://www.mcielectronics.cl/en_US/,,,,,
Chile,,,https://www.casaroyal.cl,,,,,
Chile,,,https://afel.cl,,,,,
Chile,,,https://www.amgkits.com ,,,,,
Chile,,,http://www.maxelectronica.cl ,,,,,
Chile,,,https://www.robotronix.cl ,,,,,
Germany,,Conrad,www.conrad.de,,,,,
Germany,,reichelt,www.reichelt.de,,,,,
Germany,,Pollin,www.pollin.de,,,,,
Germany,,Farnell,www.farnell.de,,,,,
Germany,,Digikey,www.digikey.de,,,,,
Germany,,Eckstein,www.eckstein-shop.de,,,,,
Germany,,Watterott,http://www.watterott.com/,,,,,
Germany,,Pimoroni,https://shop.pimoroni.de/,,,,,
Germany,,Distrelec,https://www.distrelec.de/,,,,,
Ghana,,Inventelelectronics,https://www.inventelectronics.com/ ,,,,,
Ghana,,Agenda,http://www.agendagh.com/,,,,More electric than electronics it seems,
Israel,,,https://www.4project.co.il/,,,,,
Israel,,,https://www.facebook.com/groups/804392556345093/,,,Facebook group,local p2p buy/sell components group,
Israel,,chipchip,https://www.chipchip.co.il/,,,,,
Israel,,dash,http://dash.co.il/,,,,,
Israel,,Or-e,https://www.or-e.co.il/,,,,,
Israel,,idan hitech,http://idanh.co.il/,,,,,
Israel,,KA tech,http://www.katech10.com/,,,,,
Israel,,Lion electronics,https://www.lion.co.il/,,,,,
Israel,,Talmir,https://www.talmir.co.il/,,,,,
Nigeria,,Satajanus,http://satajanus.com/,,,,,
Nigeria,,Jumia,www.jumia.com/ ,,,,,
Peru,,,http://toew-pe.com/ ,,,,,
Peru,,,https://electrotec.pe/ ,,,,,
Peru,,,https://openhardware.pe/store/,,,,,
Peru,,,https://paruro.pe/ ,,,,,
Peru,,,http://www.digitronik.pe/ ,,,,,
South Africa,,Digikey,https://www.digikey.co.za/,,,,,
South Africa,,DIY electronics,https://www.diyelectronics.co.za ,,,,,
South Africa,,Stelltron,http://www.stelltron.co.za/,,,,,
United Kingdom,,Farnell,http://uk.farnell.com/,,,,,
United Kingdom,,RS Components,https://uk.rs-online.com,,,,,
United Kingdom,,Rapid,http://rapidonline.com,,,,,
United States,,Fry's Electronics,https://www.frys.com/ac/storeinfo/storelocator,,,Big-box stores with great inventory,,
Zimbabwe,,Netro,www.netrozim.com,,,,,
Zimbabwe,,Netro,www.netrozim.co.zw,,,,,
