Country	Shop	Website	OBS1	OBS2
Germany	Conrad	www.conrad.de		
Germany		www.reichelt.de		
Germany		www.pollin.de		
Germany		www.farnell.de		
Germany		www.digikey.de		
Germany		www.eckstein-shop.de		
Germany		http://www.watterott.com/		
Germany		https://shop.pimoroni.de/		
Germany		https://www.distrelec.de/		
South Africa		https://www.digikey.co.za/		
South Africa		https://www.diyelectronics.co.za 		
South Africa		http://www.stelltron.co.za/		
Nigeria		http://satajanus.com/		
Nigeria		www.jumia.com/ 		
Ghana		https://www.inventelectronics.com/ 		
Ghana		http://www.agendagh.com/		
Argentina		www.openhacks.com 	Buenos Aires	
Argentina		www.ityt.com.ar	Mendoza	
Argentina		http://candy-ho.com/		
Argentina		http://www.nubbeo.com.ar/		
Argentina		https://www.gizmojo.com.ar/		
Brazil		http://hardwarelivreusp.org/2016/11/24/onde-comprar/	Information in portuguese (hint from Filipe from @conector ciencia)	
Brazil		http://newportcom.com.br/		
Brazil		https://pandoralab.com.br/		
Brazil		http://www.mrdcomp.com.br/		
Brazil		http://loja.multcomercial.com.br/		
Peru		http://toew-pe.com/ 		
Peru		https://electrotec.pe/ 		
Peru		https://openhardware.pe/store/		
Peru		https://paruro.pe/ 		
Peru		http://www.digitronik.pe/ 		
Chile		http://www.mcielectronics.cl/en_US/		
Chile		https://www.casaroyal.cl		
Chile		https://afel.cl		
Chile		https://www.amgkits.com 		
Chile		http://www.maxelectronica.cl 		
Chile		https://www.robotronix.cl 		
Israel		https://www.4project.co.il/		
		https://www.facebook.com/groups/804392556345093/	Facebook group	
